Vaga,Empresa,Avaliação,Local,Data,Descrição,Link
Consultant,Logicalis,"3,5","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Construir conexão com diferentes fontes de dados.
Disponibilidade para atuar em escritórios do cliente final.
Power BI (nível intermediário ou avançado).",br.indeed.com/rc/clk?jk=a9e65d05671001c4&fccid=56e37881a6eea444&vjs=3
Analista de Segurança da Informação Pleno | Time de Resposta a Incidentes (CSIRT),Globo,"4,4","Remoto híbrido in Rio de Janeiro, RJ",PostedAnunciada há 19 dia,"O real aprendizado acontece quando conhecemos novas ideias, novas pessoas, novas tecnologias.
Tratamento de incidentes de segurança da informação;",br.indeed.com/rc/clk?jk=d038173683473f7c&fccid=0e1f81ffc3373afd&vjs=3
Instrutor de Hardware- NITERÓI,Microcamp Tecnologia,"3,5","Niterói, RJ",EmployerAtiva 6 dias atrás,"Preparação, e organização das aulas para o desenvolvimento de aprendizagem dos alunos.
Habilidade no relacionamento com alunos.",br.indeed.com/company/Microcamp-Tecnologia/jobs/Instrutor-7aac400dd67d7844?fccid=47b0d241a6f38b27&vjs=3
Software Engineer - Advanced Analytics Group,Bain & Company,"4,3","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"As part of AAG, you will work with other members of AAG, Bain Generalist Consultants and our AAG Factory team to build robust software solutions that interact…",br.indeed.com/rc/clk?jk=4124e4e4d44cb658&fccid=48270b2eee62c2c6&vjs=3
Analista de CRM,Beep Saúde,"3,3","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Ter conhecimento em linguagem de programação (python/R ou SQL);
Prepare-se para fazer parte de um time incrível e muito criativo!",br.indeed.com/rc/clk?jk=a91e4f668d3287ab&fccid=5f1a5dcf8d0dd3b8&vjs=3
Bank Operations Intern,VTEX,"3,5","Rio de Janeiro, RJ",PostedAnunciada há 19 dia,"Support the company's growth through analyzing VTEX's Cash Flow and supporting strategic decisions.
Evolve in a continuous learning process of SaaS market and…",br.indeed.com/rc/clk?jk=f437cccc8d6b3dcf&fccid=bdb8f222aa18691a&vjs=3
Application Performace Monitoring,EY,"3,9","Rio de Janeiro, RJ",PostedAnunciada há 20 dia,Revisar as tendências de desempenho nas reuniões de status das operações do time e quando demandado pelo time de produto das aplicações.,br.indeed.com/rc/clk?jk=75fd5ed31a5e4dc3&fccid=1544766d4c2915b0&vjs=3
Analista de Segurança da Informação | Segurança de Plataforma de Aplicações,Globo,"4,4","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Nossa área de Estratégia e Tecnologia é um pilar fundamental dos nossos negócios, sendo responsável pela nossa transformação digital. Aqui criamos soluções…",br.indeed.com/rc/clk?jk=099e660459481c65&fccid=0e1f81ffc3373afd&vjs=3
9070 - Pessoa Desenvolvedora Full Stack,GLOBAL HITSS,"3,6","Rio de Janeiro, RJ",PostedAnunciada há 15 dia,"A Global Hitss é uma multinacional do grupo América Móvil, atuando há mais de 30 anos no mercado de soluções digitais e serviços de TI em 9 países.…",br.indeed.com/rc/clk?jk=eb709fd4cecb5f75&fccid=c24117b06f969a80&vjs=3
Engenheira(o) de Análise de Instalação Sr - Pipeline Group,Subsea7,"4,2","Rio de Janeiro, RJ",PostedAnunciada há 7 dia,"Na Subsea 7, nossa equipe do Pipeline Group tem a principal responsabilidade de planejar e executar a instalação de dutos offshore para a indústria de…",br.indeed.com/rc/clk?jk=ed9c1a5bbb336065&fccid=a5ad4eb23ad5b51b&vjs=3
